track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
7hXYBAMe5r7AyRcmOjSN2Z,226290,40,0.3,0.799,0.476,0.0,0.101,-10.613,0.222,139.952,4,0
5EVEYkrTzqm3Q4ZVXXL02n,208758,55,0.0813,0.783,0.809,0.00358,0.109,-5.689,0.0668,101.043,4,0
0ibShYbjMMERrW91r5VyoT,217733,54,0.324,0.75,0.492,0.000139,0.232,-6.65,0.258,98.173,4,0
0GScClMG7w5PZ4XCB5ViNu,165981,57,0.0902,0.879,0.409,0.0,0.112,-13.801,0.161,99.991,4,0
5cn8rUjix0GZj4Tkh9TTJZ,169230,37,0.176,0.834,0.558,1.67e-05,0.0879,-8.274,0.166,116.977,4,0
1Gce7Qszn5eMZRVGF8nPyF,194987,42,0.52,0.912,0.588,0.0402,0.215,-9.555,0.2,95.015,4,0
4sCCgLTynVgwC5kwEOW1J4,173635,59,0.394,0.869,0.413,0.154,0.0816,-9.105,0.0604,112.013,4,0
6CJD4LDNULzE645JA2XHpx,179775,54,0.202,0.923,0.666,0.00414,0.105,-4.97,0.0609,110.011,4,0
6K8SmtE4jbK0E0MHOzWIIs,130946,46,0.0729,0.772,0.681,0.0,0.348,-7.666,0.365,67.451,4,0
3QO1m6i0nsrp8aOnapvbkx,262973,64,0.0864,0.612,0.651,0.0,0.368,-6.974,0.281,90.272,4,0
4QjNqkWP7iGoXVB0MvJfLm,176106,31,0.443,0.822,0.734,0.421,0.188,-5.424,0.11,112.344,4,0
6MzjLOHzkqoi7667ysz41k,156454,49,0.358,0.85,0.645,1.12e-05,0.09,-6.302,0.0611,104.022,4,0
6BtXtwOOy9CfpdlClUscJv,189106,30,0.0127,0.864,0.876,1.74e-05,0.0749,-2.418,0.0646,104.0,4,0
5EIVA0ZDr605FzZpnskzBc,245874,49,0.416,0.821,0.38,2.53e-05,0.0952,-7.989,0.0502,95.004,4,0
558ULLj8yY2vT8XGtgY0q9,194000,60,0.0733,0.937,0.797,0.000835,0.147,-4.768,0.206,120.001,4,0
5SyomyWqCVD0UrdEh2IhN9,169959,33,0.735,0.854,0.771,0.155,0.0785,-6.567,0.191,103.051,4,0
11RIJRbBfyLlJut96itSFd,199521,68,0.345,0.836,0.614,9.86e-05,0.088,-4.543,0.311,101.97,4,0
5OIn7xqzMLMnVzhnAQh8Vo,163480,36,0.318,0.839,0.65,0.455,0.0726,-6.399,0.118,100.021,4,0
39Gszviht3Apl2z2LeT5WK,176013,39,0.651,0.679,0.452,0.0,0.151,-7.668,0.219,88.007,4,0
1QPIsbNZiuDv9NBjvkZYNU,231026,49,0.222,0.692,0.677,0.00106,0.0975,-5.792,0.302,101.637,4,0
4bvwjCHTffafw9tWikB2Jn,185993,38,0.686,0.707,0.495,0.000213,0.0611,-9.805,0.138,191.889,4,0
1yEO37hXfLyKY6WvcciTks,226786,26,0.224,0.81,0.673,0.00109,0.112,-6.612,0.207,103.066,4,0
4Dech2aFB9vMxRFF4rJAM1,237784,57,0.0343,0.593,0.701,0.0,0.0841,-4.587,0.32,134.814,5,0
6ZEXpYYjKX33hXjeZK0sNH,211301,45,0.454,0.758,0.755,0.000207,0.0788,-5.631,0.108,92.022,4,0
2Jy4EdqIZswDZvVDh5dx3A,234026,62,0.173,0.561,0.722,4.86e-05,0.175,-6.437,0.068,103.099,4,0
0UYJi0cElsrmNF4iaa1MgM,238911,50,0.115,0.84,0.687,2.2e-06,0.115,-7.203,0.1,113.038,4,0
0LFDKqXO5cxL5HNKjcC2Pw,217533,42,0.225,0.876,0.566,4.38e-06,0.102,-8.95,0.198,100.05,4,0
1JseAs562lQva7llJ0bibp,209235,47,0.0367,0.691,0.688,0.0,0.0736,-7.698,0.387,101.275,4,0
6eHqU8ntHGzddACoxlfDX0,198678,60,0.0548,0.735,0.761,1.78e-06,0.0482,-4.219,0.0496,94.025,4,0
5FG7Tl93LdH117jEKYl3Cm,248040,76,0.0266,0.849,0.707,8.58e-06,0.618,-6.002,0.113,104.027,4,0
0u3gigxw11WMwQryCLnXi2,148000,47,0.0149,0.76,0.794,0.339,0.12,-7.095,0.0783,111.011,4,0
35056uy2b4M1qJ3Z1ed3sf,185454,68,0.077,0.711,0.679,1.42e-05,0.142,-6.261,0.108,109.971,4,0
5HKFXkUZGiYknm8fhFkpPE,205892,41,0.134,0.567,0.577,0.000397,0.145,-7.833,0.134,200.008,5,0
6iC4xfqow6iAsRhPh5IrWz,213599,60,0.625,0.755,0.645,5.79e-06,0.197,-6.933,0.0944,99.889,4,0
17aDzWS0KU09MVWtagw2FI,191333,52,0.0212,0.754,0.596,0.00191,0.274,-5.54,0.345,199.986,4,0
46DmSUU9rCEhjLv2sVMN8U,148834,17,0.0999,0.841,0.595,0.00131,0.0743,-6.104,0.187,104.974,4,0
51mLQ3w7yR7vjdSTFLWaY5,196146,70,0.103,0.545,0.749,0.0,0.232,-6.621,0.153,100.503,4,0
601WxmzITFziMCk3iuNps7,145048,53,0.419,0.837,0.743,9.77e-05,0.103,-5.014,0.0505,102.996,4,0
5DCoLPjn4bBNmf41iVG5Vh,170501,42,0.225,0.711,0.619,0.00584,0.0996,-10.797,0.0564,107.033,4,0
